,scpdsi,pdsi,phdi,pmdi,zindex
1991-01-31,-0.7682383117108307,-0.7388814795361643,-0.7682383117108307,-0.7682383117108307,-2.304714935132492
1991-02-28,-1.1825066969204427,-1.137319350601298,-1.1825066969204427,-1.1825066969204427,-1.480190793947483
1991-03-31,-1.5788676063123122,-1.5185340475220621,-1.5788676063123122,-1.5788676063123122,-1.5544772975240244
1991-04-30,0.10641054095675888,0.08526450411587368,-1.3098337019053852,-1.0680689870068796,0.3192316228702766
1991-05-31,0.488224512753303,0.39120392211933697,-0.7821465730940402,0.13347753191734477,1.1783227725452707
1991-06-30,0.9483041428111034,0.7598559481120806,0.9483041428111034,0.9483041428111034,1.531100264614172
1991-07-31,-1.0017831294945452,-0.9635018061607861,-1.0017831294945452,-1.0017831294945452,-3.0053493884836353
1991-08-31,-0.965587343932219,-0.9286891768222326,-0.965587343932219,-0.965587343932219,-0.2009636303268361
1991-09-30,-1.5053286588665349,-1.4478052574266251,-1.5053286588665349,-1.5053286588665349,-1.917590434078003
1991-10-31,-2.0852783293171138,-2.005593204248431,-2.0852783293171138,-2.0852783293171138,-2.204995566941496
1991-11-30,0.3960287984526574,0.31732945638715254,-1.4744658629447938,-0.8657115862338498,1.1880863953579723
1991-12-31,1.7545162386191928,1.405856559923929,1.7545162386191928,1.7545162386191928,4.197835219221477
1992-01-31,1.7910341369875018,1.4351175754937402,1.7910341369875018,1.7910341369875018,0.6516992128382579
1992-02-29,1.8089504932151441,1.449473570826327,1.8089504932151441,1.8089504932151441,0.6071786170120651
1992-03-31,2.2072487447893376,1.7686214917498138,2.2072487447893376,2.2072487447893376,1.75386045712606
1992-04-30,2.337892720202793,1.8733037316782926,2.337892720202793,2.337892720202793,1.0739717883802709
1992-05-31,-0.7674362213388735,-0.7381100395913981,1.3296535486830319,0.25630302725830245,-2.3023086640166204
1992-06-30,-1.1949320957379999,-1.1492699353641143,0.6861574279716495,-1.0253285607913671,-1.5196254155910904
1992-07-31,-1.4675304403151324,-1.4114514291660993,-1.4675304403151324,-1.4675304403151324,-1.187029051314439
1992-08-31,-1.16747936321014,-1.146765180093276,-1.16747936321014,-0.8467676671198524,0.44668632525760177
1992-09-30,-1.6695576958546003,-1.6271959120347164,-1.6695576958546003,-1.6695576958546003,-1.8669861211653145
1992-10-31,-1.7925970065844596,-1.743325453706599,-1.7925970065844596,-1.7925970065844596,-0.8850112602086495
1992-11-30,-1.5302123323010028,-1.5014657675055834,-1.5302123323010028,-1.3448153976576185,0.2332415478157731
1992-12-31,-1.6791970665842946,-1.6416953654157058,-1.6791970665842946,-1.6791970665842946,-0.9197898135308848
1993-01-31,-1.2558010010625484,-1.271929482729492,-1.2558010010625484,-0.8060743713003145,0.7513163029906912
1993-02-28,-1.2246352290151055,-1.235350640488569,-1.2246352290151055,-0.8569293409364266,-0.2945451931859985
